frame,state,src,err,curv,speed,steer,light_phase,light,light_area
1,WAIT_LIGHT,center,-0.0597,0.0231,0.0,0.0,WAIT,None,182
2,WAIT_LIGHT,center,-0.0596,0.0382,0.0,0.0,WAIT,None,182
3,DRIVE,center,-0.0622,0.0501,0.05,2.86,GO,green,183
4,DRIVE,center,0.0027,0.0579,0.1,-2.59,GO,green,182
5,DRIVE,center,0.002,0.0611,0.15,-0.64,GO,green,182
6,DRIVE,center,0.0021,0.063,0.2,-0.69,GO,green,181
7,DRIVE,center,-0.0622,0.0651,0.25,2.77,GO,green,182
8,DRIVE,center,0.0021,0.0654,0.3,-2.64,GO,green,182
9,DRIVE,center,-0.0596,0.0657,0.35,2.62,GO,green,182
10,DRIVE,center,-0.0596,0.0662,0.4,0.77,GO,green,182
11,DRIVE,center,-0.0596,0.0662,0.45,0.77,GO,green,182
12,DRIVE,center,0.0021,0.0662,0.5,-2.56,GO,green,183
13,DRIVE,center,-0.0594,0.0662,0.542,2.61,GO,green,182
14,DRIVE,center,0.0054,0.0663,0.552,-2.74,GO,green,182
15,DRIVE,center,0.0122,0.0107,0.59,-0.6,GO,green,184
16,DRIVE,center,0.0021,0.0306,0.578,-0.06,GO,green,183
17,DRIVE,center,-0.0596,0.043,0.558,2.85,GO,green,181
18,DRIVE,center,-0.0059,0.0571,0.558,-2.04,GO,green,182
19,DRIVE,center,-0.0759,0.0604,0.543,3.32,GO,green,182
20,DRIVE,center,-0.0596,0.0626,0.544,0.31,GO,green,182
21,DRIVE,center,-0.0596,0.064,0.543,0.79,GO,green,182
22,DRIVE,center,-0.0655,0.0671,0.54,1.08,GO,green,184
23,DRIVE,center,0.0052,0.0669,0.551,-2.92,GO,green,182
24,DRIVE,center,-0.0596,0.0668,0.541,2.71,GO,green,183
25,DRIVE,center,0.002,0.0669,0.552,-2.56,GO,green,182
26,DRIVE,center,0.0021,0.0668,0.552,-0.72,GO,green,182
27,DRIVE,center,-0.0596,0.0669,0.541,2.61,GO,green,183
28,DRIVE,center,-0.0676,0.0732,0.535,1.13,GO,green,183
29,DRIVE,center,0.0021,0.0708,0.549,-2.85,GO,green,181
30,DRIVE,center,-0.0596,0.0688,0.54,2.59,GO,green,184
31,DRIVE,center,0.0712,0.0142,0.577,-5.77,GO,green,182
32,DRIVE,center,-0.0059,0.0376,0.572,2.08,GO,green,182
33,DRIVE,center,-0.0596,0.0476,0.555,2.56,GO,green,182
34,DRIVE,center,-0.0005,0.0562,0.56,-2.32,GO,green,182
35,DRIVE,center,-0.0005,0.062,0.556,-0.61,GO,green,183
36,DRIVE,center,-0.0596,0.0631,0.544,2.57,GO,green,182
37,DRIVE,center,0.0021,0.0643,0.554,-2.55,GO,green,182
38,DRIVE,center,0.0021,0.065,0.553,-0.7,GO,green,183
39,DRIVE,center,0.0087,0.0656,0.552,-1.06,GO,green,182
40,DRIVE,center,-0.0005,0.0677,0.552,-0.39,GO,green,182
41,DRIVE,center,-0.0596,0.0674,0.541,2.53,GO,green,182
42,DRIVE,center,0.0021,0.0669,0.552,-2.57,GO,green,182
43,DRIVE,center,-0.0026,0.073,0.547,-0.52,GO,green,183
44,DRIVE,center,-0.0596,0.0708,0.538,2.43,GO,green,182
45,DRIVE,center,-0.0596,0.0691,0.54,0.74,GO,green,183
46,DRIVE,center,-0.0596,0.0681,0.54,0.75,GO,green,183
47,DRIVE,center,-0.0596,0.0675,0.541,0.75,GO,green,182
48,DRIVE,center,0.0021,0.0672,0.552,-2.57,GO,green,183
49,DRIVE,center,0.0095,0.0131,0.589,-0.58,GO,green,182
50,DRIVE,center,0.0052,0.0317,0.576,-0.32,GO,green,181
51,DRIVE,center,0.0685,-0.0079,0.582,-3.46,GO,green,182
52,DRIVE,center,-0.0596,0.0181,0.576,5.09,GO,green,182
53,DRIVE,center,-0.0596,0.0349,0.564,1.08,GO,green,183
54,DRIVE,center,0.0021,0.0459,0.567,-2.36,GO,green,182
55,DRIVE,center,0.0553,0.0047,0.586,-2.97,GO,green,0
