frame,state,src,err,curv,speed,steer,light_phase,light,light_area
1,WAIT_LIGHT,center,0.6085,-0.1824,0.0,0.0,WAIT,None,0
2,WAIT_LIGHT,center,0.6099,-0.3044,0.0,0.0,WAIT,None,0
3,WAIT_LIGHT,center,0.6072,-0.3802,0.0,0.0,WAIT,None,0
4,WAIT_LIGHT,center,0.6083,-0.4287,0.0,0.0,WAIT,None,0
5,WAIT_LIGHT,center,0.609,-0.4613,0.0,0.0,WAIT,None,0
6,WAIT_LIGHT,center,0.6079,-0.483,0.0,0.0,WAIT,None,0
7,WAIT_LIGHT,center,0.6073,-0.4958,0.0,0.0,WAIT,None,0
8,WAIT_LIGHT,center,0.6087,-0.5049,0.0,0.0,WAIT,None,0
9,WAIT_LIGHT,center,0.6086,-0.5108,0.0,0.0,WAIT,None,0
10,WAIT_LIGHT,center,0.608,-0.5138,0.0,0.0,WAIT,None,0
11,WAIT_LIGHT,center,0.6081,-0.5159,0.0,0.0,WAIT,None,0
12,WAIT_LIGHT,center,0.6077,-0.5178,0.0,0.0,WAIT,None,0
13,WAIT_LIGHT,center,0.5245,-0.4563,0.0,0.0,WAIT,None,0
14,WAIT_LIGHT,center,0.6085,-0.4791,0.0,0.0,WAIT,None,0
15,WAIT_LIGHT,center,0.608,-0.4925,0.0,0.0,WAIT,None,0
16,WAIT_LIGHT,center,0.609,-0.5028,0.0,0.0,WAIT,None,0
17,WAIT_LIGHT,center,0.6106,-0.5121,0.0,0.0,WAIT,None,0
18,WAIT_LIGHT,center,0.606,-0.5169,0.0,0.0,WAIT,None,0
19,WAIT_LIGHT,center,0.6086,-0.519,0.0,0.0,WAIT,None,0
20,DRIVE,center,0.6079,-0.5203,0.05,-9.0,GO,None,0
21,DRIVE,center,0.6084,-0.5201,0.1,-9.42,GO,None,0
22,DRIVE,center,0.6112,-0.5244,0.15,-9.51,GO,None,0
23,DRIVE,center,0.6083,-0.5246,0.2,-9.26,GO,None,0
24,DRIVE,center,0.6083,-0.5238,0.25,-9.36,GO,None,0
25,DRIVE,center,0.6079,-0.5222,0.26,-9.36,GO,None,0
26,DRIVE,center,0.6076,-0.522,0.26,-9.35,GO,None,0
27,DRIVE,center,0.6081,-0.5214,0.26,-9.4,GO,None,0
28,DRIVE,center,0.6084,-0.5206,0.26,-9.4,GO,None,0
29,DRIVE,center,0.6076,-0.5201,0.26,-9.36,GO,None,0
30,DRIVE,center,0.6089,-0.5207,0.26,-9.45,GO,None,0
31,DRIVE,center,0.6088,-0.5212,0.26,-9.39,GO,None,0
32,DRIVE,center,0.6113,-0.5253,0.26,-9.49,GO,None,0
33,DRIVE,center,0.6087,-0.5251,0.26,-9.28,GO,None,0
34,DRIVE,center,0.6092,-0.5256,0.26,-9.38,GO,None,0
35,DRIVE,center,0.6082,-0.5238,0.26,-9.33,GO,None,0
36,DRIVE,center,0.6086,-0.5233,0.26,-9.38,GO,None,0
37,DRIVE,center,0.6081,-0.5221,0.26,-9.36,GO,None,0
